Material_Number,Material_Description,Material_Group,Material_Group_Desc,Material_Type,Base_UoM,Created_Date,Created_By,Plant,Industry_Sector,Deletion_Flag,HSN_SAC_Code,Classification,Standard_Price
M5776628,INDUCTION MOTOR 30KW SPARE — Var 7,3030207,INDUCTION MOTOR 30KW SPARE,ERSA,EA,23-03-2022,USER008,,M,,83248714,B,65062.15
M5597771,BEARING MECHANICAL SPARE TIMKEN — Var 8,3030202,BEARING MECHANICAL SPARE TIMKEN,ERSA,EA,14-08-2022,USER002,,M,,92750022,A,253706.43
M2410328,STATIONERY OFFICE SUPPLIES — Var 3,3030213,STATIONERY OFFICE SUPPLIES,HALB,KG,26-03-2020,USER001,,M,,91986553,C,312337.85
M6592449,VALVE PNEUMATIC ACTUATOR — Var 7,3030208,VALVE PNEUMATIC ACTUATOR,ERSA,EA,04-10-2022,USER009,VSP,M,,89788217,C,357163.94
M4932915,LIMESTONE LUMPS BLAST FURNACE — Var 1,1010005,LIMESTONE LUMPS BLAST FURNACE,HALB,KG,03-08-2023,USER005,,M,,94995624,B,312541.62
M9993522,SCRAP HEAVY MELT — Var 4,1010009,SCRAP HEAVY MELT,HALB,KG,04-03-2024,USER006,JSR,M,,89059672,C,388646.81
M1149536,INSTRUMENTATION SENSOR PRESSURE — Var 6,3030216,INSTRUMENTATION SENSOR PRESSURE,HALB,KG,07-02-2022,USER005,ANG,M,,95553939,C,64123.72
M9712038,BEARING MECHANICAL SPARE SKF — Var 4,3030201,BEARING MECHANICAL SPARE SKF,ERSA,EA,13-05-2020,USER002,DOL,M,,96581932,C,336528.65
M5450703,PPE HELMET SAFETY — Var 1,3030211,PPE HELMET SAFETY,HALB,KG,13-03-2023,USER011,,M,,80158444,A,388997.33
M3191243,STATIONERY OFFICE SUPPLIES — Var 3,3030213,STATIONERY OFFICE SUPPLIES,HALB,KG,15-11-2023,USER001,VSP,M,,76677314,C,454435.78
M1267086,TRANSPORT INPLANT — Var 2,4040304,TRANSPORT INPLANT,ANLZ,EA,21-04-2024,USER006,JSR,M,,90086954,C,407800.08
M8471520,TONER CARTRIDGE LASER — Var 1,3030214,TONER CARTRIDGE LASER,HALB,KG,28-12-2019,USER005,JSR,M,,95279427,A,42952.2
M6239062,PPE HELMET SAFETY — Var 5,3030211,PPE HELMET SAFETY,HALB,KG,22-01-2023,USER003,,M,,94854830,C,402208.65
M8487551,WELDING ELECTRODE E7018 — Var 10,3030215,WELDING ELECTRODE E7018,HALB,KG,10-06-2019,USER001,JSR,M,,94261280,C,390150.3
M2203222,HYDRAULIC HOSE INDUSTRIAL — Var 2,3030203,HYDRAULIC HOSE INDUSTRIAL,HALB,KG,28-04-2024,USER012,,M,,72610018,A,1875.11
M6152828,STATIONERY OFFICE SUPPLIES — Var 12,3030213,STATIONERY OFFICE SUPPLIES,HALB,KG,03-05-2020,USER006,DOL,M,,85434971,C,321579.42
M3291421,BEARING MECHANICAL SPARE SKF — Var 9,3030201,BEARING MECHANICAL SPARE SKF,ERSA,EA,22-12-2023,USER005,VSP,M,,79176288,C,410092.54
M6302857,MILL ROLL CHOCK ASSEMBLY — Var 9,2020113,MILL ROLL CHOCK ASSEMBLY,ROH,TON,08-12-2019,USER008,VSP,M,,77798519,C,203523.74
M7743822,SCRAP HEAVY MELT — Var 1,1010009,SCRAP HEAVY MELT,HALB,KG,23-09-2021,USER010,,M,,86006512,A,416608.5
M3268598,MOULD FLUX POWDER — Var 7,2020107,MOULD FLUX POWDER,HALB,KG,15-12-2022,USER007,ANG,M,,95042634,B,428895.37
M9702018,BEARING MECHANICAL SPARE TIMKEN — Var 10,3030202,BEARING MECHANICAL SPARE TIMKEN,ERSA,EA,26-02-2024,USER008,DOL,M,,87068877,B,229457.53
M1959178,PPE HELMET SAFETY — Var 7,3030211,PPE HELMET SAFETY,HALB,KG,19-05-2020,USER001,BPS,M,,74896681,C,331626.15
M8486970,COKING COAL IMPORTED AUS PREMIUM — Var 3,1010002,COKING COAL IMPORTED AUS PREMIUM,ROH,TON,18-05-2021,USER010,BPS,M,,78077973,C,41138.3
M9522469,HYDRAULIC OIL ISO 68 — Var 12,3030204,HYDRAULIC OIL ISO 68,HALB,KG,06-11-2019,USER006,ANG,M,,82348610,C,228835.65
M9808972,IRON ORE LUMPS MARKET — Var 10,1010003,IRON ORE LUMPS MARKET,ROH,TON,13-05-2022,USER003,,M,,77733831,C,170790.4
M2978264,GREASE INDUSTRIAL EP2 — Var 9,3030205,GREASE INDUSTRIAL EP2,HALB,KG,03-11-2019,USER002,BPS,M,,80425024,C,32067.05
M1699377,STATIONERY OFFICE SUPPLIES — Var 12,3030213,STATIONERY OFFICE SUPPLIES,HALB,KG,27-01-2020,USER010,,M,,82142319,C,56874.51
M1742042,VALVE PNEUMATIC ACTUATOR — Var 5,3030208,VALVE PNEUMATIC ACTUATOR,ERSA,EA,28-07-2019,USER012,,M,,76416696,C,104982.6
M6148312,PPE HELMET SAFETY — Var 11,3030211,PPE HELMET SAFETY,HALB,KG,28-11-2021,USER008,,M,,93777476,B,215955.93
M9887682,PPE SAFETY BOOTS — Var 6,3030212,PPE SAFETY BOOTS,HALB,KG,13-11-2023,USER002,DOL,M,,73172528,C,463770.91
M7808375,SUBMERGED ENTRY NOZZLE — Var 8,2020105,SUBMERGED ENTRY NOZZLE,HALB,KG,02-04-2020,USER006,ANG,M,,83574839,C,486800.33
M6644118,LUBRICATION OIL TURBINE — Var 11,3030206,LUBRICATION OIL TURBINE,HALB,KG,15-07-2023,USER001,BPS,M,,80866431,A,308321.69
M7127307,IRON ORE LUMPS MARKET — Var 9,1010003,IRON ORE LUMPS MARKET,ROH,TON,23-04-2024,USER001,VSP,M,,74419230,C,146682.87
M9207948,DOLOMITE LUMPS — Var 12,1010006,DOLOMITE LUMPS,HALB,KG,16-04-2022,USER008,JSR,M,,90965280,C,84438.49
M9977733,INSTRUMENTATION SENSOR PRESSURE — Var 3,3030216,INSTRUMENTATION SENSOR PRESSURE,HALB,KG,05-06-2019,USER007,,M,,96702196,B,251194.54
M8290494,STATIONERY OFFICE SUPPLIES — Var 12,3030213,STATIONERY OFFICE SUPPLIES,HALB,KG,11-04-2024,USER002,,M,,73806775,C,76118.72
M2274222,WORK ROLL FORGED — Var 5,2020110,WORK ROLL FORGED,ROH,TON,14-02-2023,USER010,BPS,M,,99526311,B,389229.09
M2863666,HYDRAULIC HOSE INDUSTRIAL — Var 2,3030203,HYDRAULIC HOSE INDUSTRIAL,HALB,KG,03-03-2022,USER008,KLN,M,,80467134,A,205032.24
M7411663,TRANSPORT INPLANT — Var 7,4040304,TRANSPORT INPLANT,ANLZ,EA,26-08-2020,USER001,,M,,96541123,B,487258.69
M2476750,COKING COAL IMPORTED AUS PREMIUM — Var 11,1010002,COKING COAL IMPORTED AUS PREMIUM,ROH,TON,07-09-2023,USER006,BPS,M,,79547730,B,125508.41
M6399648,OXYGEN GAS LIQUID — Var 1,1010014,OXYGEN GAS LIQUID,HALB,KG,24-01-2023,USER006,DOL,M,,85006538,C,165576.92
M1687493,LIMESTONE LUMPS BLAST FURNACE — Var 9,1010005,LIMESTONE LUMPS BLAST FURNACE,HALB,KG,15-10-2021,USER009,KLN,M,,85808055,C,365209.4
M8760527,WELDING ELECTRODE E7018 — Var 5,3030215,WELDING ELECTRODE E7018,HALB,KG,04-07-2019,USER004,VSP,M,,97565355,C,68598.07
M7244990,HYDRAULIC OIL ISO 68 — Var 3,3030204,HYDRAULIC OIL ISO 68,HALB,KG,28-02-2023,USER012,KLN,M,,87680097,B,256207.44
M4804335,ANNUAL MAINTENANCE CONTRACT CRANE — Var 11,4040303,ANNUAL MAINTENANCE CONTRACT CRANE,DIEN,ACT,05-10-2021,USER003,BPS,M,,87570284,A,329229.09
M8243217,STATIONERY OFFICE SUPPLIES — Var 1,3030213,STATIONERY OFFICE SUPPLIES,HALB,KG,30-05-2021,USER001,,M,,92128117,C,88642.91
M1525908,FERRO SILICON FeSi75 — Var 1,1010012,FERRO SILICON FeSi75,HALB,KG,11-04-2024,USER008,JSR,M,,98418441,C,371567.38
M3887799,WELDING ELECTRODE E7018 — Var 9,3030215,WELDING ELECTRODE E7018,HALB,KG,11-02-2019,USER009,BPS,M,,76326391,A,70168.51
M6687946,REFRACTORY CASTABLE HIGH ALUMINA — Var 1,2020102,REFRACTORY CASTABLE HIGH ALUMINA,HALB,KG,22-01-2019,USER003,VSP,M,,75681355,A,23882.02
M7564884,PELLET FEED IRON ORE — Var 10,1010008,PELLET FEED IRON ORE,ROH,TON,07-03-2021,USER011,JSR,M,,84117915,B,457555.2
M9731416,PUMP CENTRIFUGAL 5HP — Var 8,3030210,PUMP CENTRIFUGAL 5HP,HALB,KG,14-06-2022,USER002,ANG,M,,80375313,B,89218.09
M8125682,PPE HELMET SAFETY — Var 6,3030211,PPE HELMET SAFETY,HALB,KG,14-07-2020,USER009,,M,,94676435,B,465628.76
M3932942,ROLLING MILL EQUIPMENT UPGRADE — Var 9,5050403,ROLLING MILL EQUIPMENT UPGRADE,ROH,TON,27-11-2019,USER008,BPS,M,,77657161,C,284839.87
M7746405,PELLET FEED IRON ORE — Var 7,1010008,PELLET FEED IRON ORE,ROH,TON,02-09-2019,USER009,VSP,M,,83058110,A,395852.54
M6362126,PELLET FEED IRON ORE — Var 11,1010008,PELLET FEED IRON ORE,ROH,TON,03-04-2024,USER012,,M,,98768953,A,347114.93
M9272102,BEARING MECHANICAL SPARE TIMKEN — Var 7,3030202,BEARING MECHANICAL SPARE TIMKEN,ERSA,EA,04-09-2019,USER012,BPS,M,,88987057,C,420704.2
M4370660,PPE SAFETY BOOTS — Var 2,3030212,PPE SAFETY BOOTS,HALB,KG,19-01-2019,USER006,BPS,M,,90447228,C,296972.49
M6378176,WELDING ELECTRODE E7018 — Var 5,3030215,WELDING ELECTRODE E7018,HALB,KG,09-10-2019,USER004,,M,,84936885,C,3600.57
M1214333,WELDING ELECTRODE E7018 — Var 1,3030215,WELDING ELECTRODE E7018,HALB,KG,07-03-2021,USER010,,M,,89537826,C,282374.36
M8037284,HYDRAULIC OIL ISO 68 — Var 9,3030204,HYDRAULIC OIL ISO 68,HALB,KG,20-05-2024,USER011,VSP,M,,92469360,C,477380.58
M5919178,PELLET FEED IRON ORE — Var 8,1010008,PELLET FEED IRON ORE,ROH,TON,10-03-2024,USER012,ANG,M,,91735244,C,94980.53
M2006416,PPE HELMET SAFETY — Var 4,3030211,PPE HELMET SAFETY,HALB,KG,05-07-2022,USER012,DOL,M,,87990496,C,63597.63
M8110831,PUMP CENTRIFUGAL 5HP — Var 5,3030210,PUMP CENTRIFUGAL 5HP,HALB,KG,10-12-2021,USER001,VSP,M,,92028674,C,363711.04
M8393298,BEARING MECHANICAL SPARE TIMKEN — Var 1,3030202,BEARING MECHANICAL SPARE TIMKEN,ERSA,EA,03-09-2023,USER003,,M,,95961244,C,215194.98
M6918153,CONVEYOR BELT INDUSTRIAL — Var 3,3030209,CONVEYOR BELT INDUSTRIAL,HALB,KG,20-02-2021,USER010,VSP,M,,85260224,C,240967.51
M3834748,BEARING MECHANICAL SPARE TIMKEN — Var 11,3030202,BEARING MECHANICAL SPARE TIMKEN,ERSA,EA,22-03-2023,USER001,VSP,M,,75065200,B,122900.51
M6465175,CONVEYOR BELT INDUSTRIAL — Var 10,3030209,CONVEYOR BELT INDUSTRIAL,HALB,KG,27-11-2019,USER006,BPS,M,,97691554,C,189006.08
M3831993,HYDRAULIC HOSE INDUSTRIAL — Var 7,3030203,HYDRAULIC HOSE INDUSTRIAL,HALB,KG,16-05-2021,USER005,,M,,94463335,B,152252.69
M5156543,BEARING MECHANICAL SPARE TIMKEN — Var 4,3030202,BEARING MECHANICAL SPARE TIMKEN,ERSA,EA,04-04-2019,USER012,,M,X,77982686,A,477934.78
M9416323,HYDRAULIC OIL ISO 68 — Var 9,3030204,HYDRAULIC OIL ISO 68,HALB,KG,21-12-2023,USER002,KLN,M,,93530411,C,344122.72
M8151117,COKING COAL IMPORTED AUS PREMIUM — Var 5,1010002,COKING COAL IMPORTED AUS PREMIUM,ROH,TON,18-02-2022,USER012,,M,,74566073,B,78986.99
M1977840,PPE SAFETY BOOTS — Var 7,3030212,PPE SAFETY BOOTS,HALB,KG,24-03-2020,USER009,,M,,94144384,A,50048.61
M4031538,LUBRICATION OIL TURBINE — Var 9,3030206,LUBRICATION OIL TURBINE,HALB,KG,02-08-2021,USER004,JSR,M,,73869037,C,439574.14
M4982656,PPE HELMET SAFETY — Var 11,3030211,PPE HELMET SAFETY,HALB,KG,21-08-2022,USER012,BPS,M,,88005523,C,484642.49
M2042527,QUARTZITE BLAST FURNACE — Var 8,1010007,QUARTZITE BLAST FURNACE,HALB,KG,03-12-2020,USER005,VSP,M,,72449030,C,2164.86
M2536258,WELDING ELECTRODE E7018 — Var 5,3030215,WELDING ELECTRODE E7018,HALB,KG,02-03-2024,USER011,ANG,M,,92803997,B,64302.02
M4774924,INDUCTION MOTOR 30KW SPARE — Var 3,3030207,INDUCTION MOTOR 30KW SPARE,ERSA,EA,12-08-2019,USER005,,M,,88245658,A,17606.68
M8964491,GREASE INDUSTRIAL EP2 — Var 8,3030205,GREASE INDUSTRIAL EP2,HALB,KG,21-11-2021,USER012,,M,,89684182,C,183641.68
M8357303,COKING COAL IMPORTED AUS PREMIUM — Var 10,1010002,COKING COAL IMPORTED AUS PREMIUM,ROH,TON,13-09-2019,USER006,VSP,M,,95011829,B,380376.89
M9962505,NITROGEN GAS LIQUID — Var 2,1010015,NITROGEN GAS LIQUID,HALB,KG,16-02-2022,USER007,DOL,M,,74803271,B,405870.13
M6065555,HYDRAULIC OIL ISO 68 — Var 1,3030204,HYDRAULIC OIL ISO 68,HALB,KG,05-04-2022,USER008,BPS,M,,81264572,A,434090.05
M4210595,GREASE INDUSTRIAL EP2 — Var 1,3030205,GREASE INDUSTRIAL EP2,HALB,KG,31-10-2019,USER008,,M,,92866606,C,14298.72
M3371849,QUARTZITE BLAST FURNACE — Var 9,1010007,QUARTZITE BLAST FURNACE,HALB,KG,31-01-2022,USER005,BPS,M,,72885042,B,283765.9
M2618192,LUBRICATION OIL TURBINE — Var 2,3030206,LUBRICATION OIL TURBINE,HALB,KG,20-05-2023,USER003,,M,,84035062,C,157498.65
M1283909,VALVE PNEUMATIC ACTUATOR — Var 5,3030208,VALVE PNEUMATIC ACTUATOR,ERSA,EA,29-01-2023,USER008,VSP,M,,87971558,C,391947.05
M6910683,PPE SAFETY BOOTS — Var 4,3030212,PPE SAFETY BOOTS,HALB,KG,30-09-2023,USER007,,M,,94884961,B,280400.76
M8531824,PUMP CENTRIFUGAL 5HP — Var 3,3030210,PUMP CENTRIFUGAL 5HP,HALB,KG,18-05-2022,USER003,BPS,M,,92672589,C,126025.86
M6142383,PPE HELMET SAFETY — Var 4,3030211,PPE HELMET SAFETY,HALB,KG,12-02-2020,USER007,,M,,75646686,A,68727.78
M4407716,PPE SAFETY BOOTS — Var 8,3030212,PPE SAFETY BOOTS,HALB,KG,02-04-2019,USER008,KLN,M,,85502732,C,489155.54
M1725643,GREASE INDUSTRIAL EP2 — Var 3,3030205,GREASE INDUSTRIAL EP2,HALB,KG,10-07-2023,USER006,,M,,85867208,A,179247.54
M5560303,HOUSEKEEPING SERVICES MONTHLY — Var 10,4040302,HOUSEKEEPING SERVICES MONTHLY,HALB,KG,22-02-2019,USER008,,M,,79962202,C,256936.34
M8053342,VALVE PNEUMATIC ACTUATOR — Var 7,3030208,VALVE PNEUMATIC ACTUATOR,ERSA,EA,31-05-2022,USER010,DOL,M,,93952868,C,73922.36
M8254525,PPE HELMET SAFETY — Var 11,3030211,PPE HELMET SAFETY,HALB,KG,11-01-2020,USER004,KLN,M,,90941858,B,135479.07
M5664866,BEARING MECHANICAL SPARE TIMKEN — Var 12,3030202,BEARING MECHANICAL SPARE TIMKEN,ERSA,EA,23-04-2021,USER004,,M,,82094956,C,258844.23
M5156419,PPE HELMET SAFETY — Var 10,3030211,PPE HELMET SAFETY,HALB,KG,20-06-2019,USER003,VSP,M,,73167224,B,69089.71
M8794857,CONTRACT LABOUR PLANT MAINTENANCE — Var 12,4040301,CONTRACT LABOUR PLANT MAINTENANCE,DIEN,ACT,03-03-2023,USER004,,M,X,78218469,C,373705.67
M3308808,FERRO SILICON FeSi75 — Var 11,1010012,FERRO SILICON FeSi75,HALB,KG,05-05-2020,USER011,VSP,M,,89475331,C,346007.03
M3745204,IRON ORE FINES OPEN MARKET — Var 10,1010004,IRON ORE FINES OPEN MARKET,ROH,TON,13-05-2020,USER004,DOL,M,,83788379,A,1879.78
M2785431,WELDING ELECTRODE E7018 — Var 9,3030215,WELDING ELECTRODE E7018,HALB,KG,10-07-2020,USER012,ANG,M,,81307922,C,35393.63
M9404993,GREASE INDUSTRIAL EP2 — Var 10,3030205,GREASE INDUSTRIAL EP2,HALB,KG,11-11-2023,USER012,DOL,M,,79276857,B,41375.74
M2325309,HYDRAULIC OIL ISO 68 — Var 10,3030204,HYDRAULIC OIL ISO 68,HALB,KG,18-04-2019,USER006,KLN,M,,97786862,A,2575.84
M9334926,WORK ROLL FORGED — Var 5,2020110,WORK ROLL FORGED,ROH,TON,05-06-2021,USER006,,M,,88207086,C,366394.69
M2699405,LUBRICATION OIL TURBINE — Var 10,3030206,LUBRICATION OIL TURBINE,HALB,KG,14-10-2021,USER004,,M,,82393502,B,141270.67
M5920648,BEARING MECHANICAL SPARE SKF — Var 7,3030201,BEARING MECHANICAL SPARE SKF,ERSA,EA,30-11-2020,USER008,,M,,93454545,C,87846.42
M8313631,BEARING MECHANICAL SPARE TIMKEN — Var 8,3030202,BEARING MECHANICAL SPARE TIMKEN,ERSA,EA,10-04-2022,USER004,KLN,M,,88714171,B,61265.47
M1581256,SCRAP HEAVY MELT — Var 11,1010009,SCRAP HEAVY MELT,HALB,KG,31-08-2020,USER012,ANG,M,,81188926,B,274162.09
M3988621,WELDING ELECTRODE E7018 — Var 6,3030215,WELDING ELECTRODE E7018,HALB,KG,04-04-2024,USER001,ANG,M,,85297640,C,80883.72
M4923250,HYDRAULIC OIL ISO 68 — Var 3,3030204,HYDRAULIC OIL ISO 68,HALB,KG,23-08-2023,USER011,,M,X,74355019,C,157117.88
M5984252,PPE HELMET SAFETY — Var 4,3030211,PPE HELMET SAFETY,HALB,KG,31-12-2023,USER003,,M,,90861087,A,309117.91
M7664720,BEARING MECHANICAL SPARE TIMKEN — Var 5,3030202,BEARING MECHANICAL SPARE TIMKEN,ERSA,EA,24-08-2019,USER004,,M,,92258479,B,244808.29
M2109557,FERRO MANGANESE Mn78 — Var 7,1010010,FERRO MANGANESE Mn78,HALB,KG,12-07-2023,USER010,,M,,72920936,B,132951.19
M9860912,FERRO CHROME HIGH CARBON — Var 12,1010013,FERRO CHROME HIGH CARBON,HALB,KG,25-04-2021,USER004,VSP,M,,73031554,C,166845.6
M3143656,VALVE PNEUMATIC ACTUATOR — Var 11,3030208,VALVE PNEUMATIC ACTUATOR,ERSA,EA,18-11-2023,USER011,DOL,M,,97725962,A,275923.93
M7447205,INSTRUMENTATION SENSOR PRESSURE — Var 4,3030216,INSTRUMENTATION SENSOR PRESSURE,HALB,KG,02-07-2022,USER002,ANG,M,,99359415,C,390055.74
M1862745,HYDRAULIC HOSE INDUSTRIAL — Var 3,3030203,HYDRAULIC HOSE INDUSTRIAL,HALB,KG,15-06-2020,USER005,VSP,M,,95716547,C,473895.63
M4420935,SECURITY CONTRACT PLANT — Var 7,4040308,SECURITY CONTRACT PLANT,DIEN,ACT,18-03-2024,USER007,ANG,M,,94308180,B,389253.07
M4023053,PPE HELMET SAFETY — Var 8,3030211,PPE HELMET SAFETY,HALB,KG,01-11-2019,USER003,JSR,M,,93444146,A,73024.4
M4484922,WELDING ELECTRODE E7018 — Var 6,3030215,WELDING ELECTRODE E7018,HALB,KG,09-04-2024,USER009,BPS,M,,72945383,B,356785.2
M8742338,GREASE INDUSTRIAL EP2 — Var 10,3030205,GREASE INDUSTRIAL EP2,HALB,KG,15-10-2019,USER011,,M,,74573777,C,149694.52
M3045911,PPE HELMET SAFETY — Var 6,3030211,PPE HELMET SAFETY,HALB,KG,30-11-2023,USER007,VSP,M,,85317817,B,43565.26
M7726645,FERRO CHROME HIGH CARBON — Var 6,1010013,FERRO CHROME HIGH CARBON,HALB,KG,16-01-2020,USER005,BPS,M,,74815626,C,313853.68
M7863494,TUNDISH BOARD — Var 11,2020106,TUNDISH BOARD,HALB,KG,09-11-2021,USER003,KLN,M,,75879257,A,477315.24
M2426119,PPE HELMET SAFETY — Var 10,3030211,PPE HELMET SAFETY,HALB,KG,27-07-2020,USER012,JSR,M,,87888760,A,359509.23
M9928028,GREASE INDUSTRIAL EP2 — Var 11,3030205,GREASE INDUSTRIAL EP2,HALB,KG,30-05-2020,USER005,,M,,91140879,C,379910.45
M5240303,COAL THERMAL GRADE A 5K — Var 11,1010001,COAL THERMAL GRADE A 5K,ROH,TON,16-02-2022,USER002,KLN,M,,82268738,C,151493.31
M5378841,INSTRUMENTATION SENSOR PRESSURE — Var 1,3030216,INSTRUMENTATION SENSOR PRESSURE,HALB,KG,12-07-2023,USER001,,M,,81605212,A,24854.22
M6052473,GREASE INDUSTRIAL EP2 — Var 5,3030205,GREASE INDUSTRIAL EP2,HALB,KG,20-07-2022,USER001,ANG,M,,83453836,C,336371.62
M3372761,GREASE INDUSTRIAL EP2 — Var 1,3030205,GREASE INDUSTRIAL EP2,HALB,KG,04-09-2022,USER011,,M,,74848580,C,136821.05
M2938572,BEARING MECHANICAL SPARE TIMKEN — Var 6,3030202,BEARING MECHANICAL SPARE TIMKEN,ERSA,EA,12-06-2020,USER007,ANG,M,,95739802,B,451632.58
M7269263,QUARTZITE BLAST FURNACE — Var 5,1010007,QUARTZITE BLAST FURNACE,HALB,KG,13-08-2020,USER007,,M,,90485056,C,411753.91
M1340111,FERRO SILICON FeSi75 — Var 10,1010012,FERRO SILICON FeSi75,HALB,KG,17-09-2020,USER002,JSR,M,,91497054,B,410909.94
M9277057,IRON ORE LUMPS MARKET — Var 7,1010003,IRON ORE LUMPS MARKET,ROH,TON,18-09-2022,USER003,,M,X,95976772,B,94176.59
M8609230,WELDING ELECTRODE E7018 — Var 1,3030215,WELDING ELECTRODE E7018,HALB,KG,10-10-2020,USER005,,M,,93829557,C,364446.26
M8295839,LIMESTONE LUMPS BLAST FURNACE — Var 8,1010005,LIMESTONE LUMPS BLAST FURNACE,HALB,KG,08-10-2021,USER010,,M,,83400792,B,383647.73
M8017468,BEARING MECHANICAL SPARE TIMKEN — Var 10,3030202,BEARING MECHANICAL SPARE TIMKEN,ERSA,EA,18-11-2019,USER004,BPS,M,,92648318,C,133603.68
M1954291,LIMESTONE LUMPS BLAST FURNACE — Var 11,1010005,LIMESTONE LUMPS BLAST FURNACE,HALB,KG,21-10-2019,USER012,,M,,80075705,B,184827.35
M4382286,IRON ORE FINES OPEN MARKET — Var 1,1010004,IRON ORE FINES OPEN MARKET,ROH,TON,28-04-2021,USER010,,M,,75211130,A,260059.71
M9548574,BEARING MECHANICAL SPARE SKF — Var 12,3030201,BEARING MECHANICAL SPARE SKF,ERSA,EA,10-05-2021,USER009,DOL,M,,92759226,C,428395.73
M5407650,POWER PLANT TURBINE COMPONENT — Var 2,5050402,POWER PLANT TURBINE COMPONENT,ANLZ,EA,04-09-2019,USER010,JSR,M,,90491786,C,339813.37
M3827837,TONER CARTRIDGE LASER — Var 8,3030214,TONER CARTRIDGE LASER,HALB,KG,16-11-2022,USER012,,M,,79426901,C,168119.35
M9895427,TRANSPORT INPLANT — Var 1,4040304,TRANSPORT INPLANT,ANLZ,EA,28-09-2023,USER003,,M,,75032692,C,407440.19
M6442349,PUMP CENTRIFUGAL 5HP — Var 6,3030210,PUMP CENTRIFUGAL 5HP,HALB,KG,18-05-2020,USER009,,M,,75365019,C,282133.76
M1589058,STATIONERY OFFICE SUPPLIES — Var 8,3030213,STATIONERY OFFICE SUPPLIES,HALB,KG,27-02-2020,USER001,,M,,82097119,C,48872.4
M2535049,FERRO MANGANESE Mn78 — Var 2,1010010,FERRO MANGANESE Mn78,HALB,KG,16-05-2019,USER002,ANG,M,,82370283,C,376736.0
M5691763,BEARING MECHANICAL SPARE SKF — Var 9,3030201,BEARING MECHANICAL SPARE SKF,ERSA,EA,09-12-2022,USER010,ANG,M,,75010726,B,149002.01
M5823071,TRANSPORT INPLANT — Var 1,4040304,TRANSPORT INPLANT,ANLZ,EA,14-12-2023,USER010,KLN,M,,86157923,C,320220.71
M1735819,CONTRACT LABOUR PLANT MAINTENANCE — Var 2,4040301,CONTRACT LABOUR PLANT MAINTENANCE,DIEN,ACT,03-01-2021,USER010,KLN,M,,75838714,C,158137.99
M5441781,COKING COAL IMPORTED AUS PREMIUM — Var 4,1010002,COKING COAL IMPORTED AUS PREMIUM,ROH,TON,04-03-2020,USER011,ANG,M,,90838785,C,364610.88
M8899365,TONER CARTRIDGE LASER — Var 1,3030214,TONER CARTRIDGE LASER,HALB,KG,12-04-2021,USER002,,M,,98335351,B,329625.14
M4042807,IRON ORE LUMPS MARKET — Var 4,1010003,IRON ORE LUMPS MARKET,ROH,TON,06-07-2021,USER008,,M,,79523069,C,104092.52
M5445374,LUBRICATION OIL TURBINE — Var 6,3030206,LUBRICATION OIL TURBINE,HALB,KG,28-09-2023,USER008,BPS,M,,96234997,C,337655.19
M4864002,BEARING MECHANICAL SPARE SKF — Var 11,3030201,BEARING MECHANICAL SPARE SKF,ERSA,EA,23-04-2024,USER005,JSR,M,,80625547,A,319435.05
M6882970,CIVIL CONSTRUCTION PROJECT WORK — Var 1,4040306,CIVIL CONSTRUCTION PROJECT WORK,HALB,KG,30-09-2022,USER001,,M,,93166041,C,186364.74
M7112856,TRANSPORT INPLANT — Var 6,4040304,TRANSPORT INPLANT,ANLZ,EA,16-04-2024,USER003,,M,,80036482,C,197314.93
M5314497,HYDRAULIC HOSE INDUSTRIAL — Var 8,3030203,HYDRAULIC HOSE INDUSTRIAL,HALB,KG,16-09-2020,USER008,,M,,99090983,C,407172.05
M6069373,GREASE INDUSTRIAL EP2 — Var 6,3030205,GREASE INDUSTRIAL EP2,HALB,KG,16-02-2021,USER003,JSR,M,,87781757,C,195773.48
M1454154,OXYGEN GAS LIQUID — Var 1,1010014,OXYGEN GAS LIQUID,HALB,KG,12-11-2022,USER008,,M,,75518014,B,430975.81
M7269362,IRON ORE LUMPS MARKET — Var 7,1010003,IRON ORE LUMPS MARKET,ROH,TON,08-10-2020,USER003,VSP,M,,93993530,C,80271.17
M8405762,BEARING MECHANICAL SPARE SKF — Var 5,3030201,BEARING MECHANICAL SPARE SKF,ERSA,EA,14-02-2019,USER004,,M,,95585606,C,45345.53
M7822559,PPE SAFETY BOOTS — Var 11,3030212,PPE SAFETY BOOTS,HALB,KG,28-08-2021,USER001,ANG,M,,73338871,B,314727.21
M1433018,TONER CARTRIDGE LASER — Var 8,3030214,TONER CARTRIDGE LASER,HALB,KG,04-06-2019,USER003,,M,,87874793,B,399825.89
M1868804,BEARING MECHANICAL SPARE SKF — Var 7,3030201,BEARING MECHANICAL SPARE SKF,ERSA,EA,30-08-2023,USER010,,M,,94827818,B,444547.65
M3721260,TRANSPORT INPLANT — Var 4,4040304,TRANSPORT INPLANT,ANLZ,EA,18-06-2022,USER008,BPS,M,,94079012,C,127147.14
M3650921,BEARING MECHANICAL SPARE TIMKEN — Var 12,3030202,BEARING MECHANICAL SPARE TIMKEN,ERSA,EA,01-02-2020,USER009,,M,,74899544,C,41983.46
M2882941,HYDRAULIC HOSE INDUSTRIAL — Var 5,3030203,HYDRAULIC HOSE INDUSTRIAL,HALB,KG,26-03-2024,USER009,,M,,81793579,B,264883.07
